ID,NAME,原编码（HJ2005),单位,排放量,数据类型,备注
w00000,污水,B01,升/秒,立方米,N5.2,
w01001,pH值,001,无量纲,,N2.2,
w01002,色度,002,[色]度,,N3.2,
w01006,溶解性总固体,,毫克/升,千克,N4,
w01009,溶解氧,,毫克/升,,N3.1,
w01010,水温,,摄氏度,,N3.1,
w01012,悬浮物,003,毫克/升,千克,N4,
w01014,电导率,,微西[门子]/厘米,,N3.1,
w01017,五日生化需氧量,010,毫克/升,千克,N5.1,
w01018,化学需氧量,011,毫克/升,千克,N5.1,
w01019,高锰酸盐指数,,毫克/升,千克,N3.1,
w01020,总有机碳,015,毫克/升,千克,N3.1,
w02003,粪大肠菌群,550,个/升,,N9,
w02006,细菌总数,,个/升,,N9,
w03001,总α放射性,570,贝可[勒尔]/升,,N3.1,
w03002,总β放射性,571,贝可[勒尔]/升,,N3.1,
w19001,表面活性剂,,毫克/升,千克,N3.2,
w19002,阴离子表面活性剂,520,毫克/升,千克,N3.2,
w20012,钡,039,毫克/升,千克,N3.3,
w20023,硼,037,毫克/升,千克,N3.3,
w20038,钴,040,毫克/升,千克,N3.4,
w20061,钼,038,毫克/升,千克,N3.4,
w20089,铊,041,纳克/升,毫克,N4,
w20092,锡,036,毫克/升,千克,N3.1,
w20111,总汞,020,微克/升,克,N3.2,
w20113,烷基汞,021,纳克/升,毫克,N4,
w20115,总镉,022,微克/升,克,N3.1,
w20116,总铬,023,毫克/升,千克,N3.3,
w20117,六价铬,024,微克/升,克,N2.3,
w20119,总砷,026,微克/升,克,N2.3,
w20120,总铅,027,微克/升,克,N4,
w20121,总镍,028,毫克/升,千克,N3.2,
w20122,总铜,029,毫克/升,千克,N3.2,
w20123,总锌,030,毫克/升,千克,N3.3,
w20124,总锰,031,毫克/升,千克,N3.3,
w20125,总铁,032,毫克/升,千克,N3.3,
w20126,总银,033,毫克/升,千克,N3.3,
w20127,总铍,034,微克/升,克,N3.3,
w20128,总硒,035,微克/升,克,N4.2,
w20138,铜,,毫克/升,千克,N3.3,
w20139,锌,,毫克/升,千克,N3.3,
w20140,硒,,毫克/升,千克,N3.3,
w20141,砷,,毫克/升,千克,N3.3,
w20142,汞,,微克/升,克,N3.3,
w20143,镉,,微克/升,克,N3.3,
w20144,铅,,毫克/升,千克,N3.3,
w21001,总氮,065,毫克/升,千克,N4.2,
w21003,氨氮,060,毫克/升,千克,N4.2,
w21004,凯氏氮,062,毫克/升,千克,N3.1,
w21006,亚硝酸盐,063,毫克/升,千克,N2.3,
w21007,硝酸盐,064,毫克/升,千克,N2.3,
w21011,总磷,101,毫克/升,千克,N3.2,
w21016,氰化物,070,毫克/升,千克,N3.3,
w21017,氟化物,072,毫克/升,千克,N4.2,
w21019,硫化物,071,毫克/升,千克,N3.3,
w21022,氯化物,090,毫克/升,千克,N3.1,
w21038,硫酸盐,,毫克/升,千克,N6,
w22001,石油类,080,毫克/升,千克,N3.2,
w23002,挥发酚,110,毫克/升,千克,N3.4,
w25043,苯并[α]芘,540,微克/升,克,N3.1,
w33001,六六六,350,纳克/升,毫克,N4,
w33007,滴滴涕,351,纳克/升,毫克,N4,
w99001,有机氮,061,毫克/升,千克,N3.1,
a00000,废气,B02,立方米/秒,立方米,N6.1,
a01001,温度,,摄氏度,,N3.1,
a01002,湿度,,%,,N3.1,
a01006,气压,,千帕,,N5.3,
a01007,风速,,米/秒,,N4.1,
a01008,风向,,[角]度,,N4,
a01010,林格曼黑度,37,无量纲,,N1,
a01011,烟气流速,S02,米/秒,,N5.2,
a01012,烟气温度,S03,摄氏度,,N3.1,
a01013,烟气压力,S08,千帕,,N5.3,
a01014,烟气湿度,S05,%,,N3.1,
a01015,制冷温度,S06,摄氏度,,N3.1,
a01016,烟道截面积,S07,平方米,,N4.2,
a01017,烟气动压,S04,千帕,,N5.3,
a01901,垃圾焚烧炉膛内焚烧平均温度,,摄氏度,,N4.1,
a01902,垃圾焚烧炉膛内DCS温度,,摄氏度,,N4.1,
a05001,二氧化碳,30,毫克/立方米,千克,N3.3,
a05002,甲烷,,纳克/立方米,克,N4.1,
a05008,三氯一氟甲烷,,毫克/立方米,千克,N7.3,
a05009,二氯二氟甲烷,,毫克/立方米,千克,N7.3,
a05013,三氯三氟乙烷,,毫克/立方米,千克,N7.3,
a19001,氧气含量,S01,%,,N3.1,
a20007,砷,,纳克/立方米,克,N1.6,
a20016,铍及其化合物,36,毫克/立方米,千克,N4.4,
a20025,镉及其化合物,33,毫克/立方米,千克,N3.4,
a20026,镉,,纳克/立方米,克,N3.3,
a20043,铅及其化合物,32,毫克/立方米,千克,N2.4,
a20044,铅,,纳克/立方米,克,N3.3,
a20057,汞及其化合物,31,毫克/立方米,千克,N4.4,
a20058,汞,,纳克/立方米,克,N3.2,
a20063,镍及其化合物,35,毫克/立方米,千克,N3.3,
a20091,锡及其化合物,34,毫克/立方米,千克,N4.3,
a21001,氨（氨气）,10,纳克/立方米,克,N4.3,
a21002,氮氧化物,03,毫克/立方米,千克,N5.1,
a21003,一氧化氮,,毫克/立方米,千克,N4.1,
a21004,二氧化氮,,毫克/立方米,千克,N4.1,
a21005,一氧化碳,04,毫克/立方米,千克,N3.3,
a21017,氰化物,07,毫克/立方米,千克,N3.3,
a21018,氟化物,06,毫克/立方米,千克,N2.3,
a21022,氯气,11,毫克/立方米,千克,N4.3,
a21024,氯化氢,08,毫克/立方米,千克,N4.3,
a21026,二氧化硫,02,毫克/立方米,千克,N5.2,
a21028,硫化氢,05,毫克/立方米,千克,N3.2,
a23001,酚类,27,毫克/立方米,千克,N3.3,
a24003,二氯甲烷,,毫克/立方米,千克,N7.3,
a24004,三氯甲烷,,毫克/立方米,千克,N7.3,
a24005,四氯甲烷,,毫克/立方米,千克,N7.3,
a24006,二溴一氯甲烷,,毫克/立方米,千克,N7.3,
a24007,一溴二氯甲烷,,毫克/立方米,千克,N7.3,
a24008,溴甲烷,,毫克/立方米,千克,N7.3,
a24009,三溴甲烷,,毫克/立方米,千克,N7.3,
a24015,氯乙烷,,毫克/立方米,千克,N7.3,
a24016,"1,1-二氯乙烷",,毫克/立方米,千克,N7.3,
a24017,"1,2-二氯乙烷",,毫克/立方米,千克,N7.3,
a24018,"1,1,1-三氯乙烷",,毫克/立方米,千克,N7.3,
a24019,"1,1,2-三氯乙烷",,毫克/立方米,千克,N7.3,
a24020,"1,1,2,2-四氯乙烷",,毫克/立方米,千克,N7.3,
a24027,"1,2-二氯丙烷",,毫克/立方米,千克,N7.3,
a24034,"1,2-二溴乙烷",,毫克/立方米,千克,N7.3,
a24036,环己烷,,毫克/立方米,千克,N7.3,
a24042,正己烷,,毫克/立方米,千克,N7.3,
a24043,正庚烷,,毫克/立方米,千克,N7.3,
a24046,氯乙烯,29,毫克/立方米,千克,N4.3,
a24047,"1,1-二氯乙烯",,毫克/立方米,千克,N7.3,
a24049,三氯乙烯,,毫克/立方米,千克,N7.3,
a24050,四氯乙烯,,毫克/立方米,千克,N7.3,
a24053,丙烯,,毫克/立方米,千克,N7.3,
a24054,"1,3-二氯丙烯",,毫克/立方米,千克,N7.3,
a24072,"1,4-二恶烷",,毫克/立方米,千克,N7.3,
a24078,"1,3-丁二烯",,毫克/立方米,千克,N7.3,
a24087,碳氢化合物,25,毫克/立方米,千克,N5.2,
a24088,非甲烷总烃,,毫克/立方米,千克,N7.3,
a24099,氯甲烷,,毫克/立方米,千克,N7.3,
a24110,"反式-1,2-二氯乙烯",,毫克/立方米,千克,N7.3,
a24111,"顺式-1,2-二氯乙烯",,毫克/立方米,千克,N7.3,
a24112,"反式-1,3-二氯丙烯",,毫克/立方米,千克,N7.3,
a24113,"六氯-1,3-丁二烯",,毫克/立方米,千克,N7.3,
a25002,苯,,毫克/立方米,千克,N7.3,
a25003,甲苯,17,毫克/立方米,千克,N4.2,
a25004,乙苯,,毫克/立方米,千克,N7.3,
a25005,二甲苯,18,毫克/立方米,千克,N4.2,
a25006,"1,2-二甲基苯",,毫克/立方米,千克,N7.3,
a25007,"1,3-二甲基苯",,毫克/立方米,千克,N7.3,
a25008,"1,4-二甲基苯",,毫克/立方米,千克,N7.3,
a25010,氯苯,23,毫克/立方米,千克,N4.3,
a25011,"1,2-二氯苯",,毫克/立方米,千克,N7.3,
a25012,"1,3-二氯苯",,毫克/立方米,千克,N7.3,
a25013,"1,4-二氯苯",,毫克/立方米,千克,N7.3,
a25014,1-乙基-4-甲基苯,,毫克/立方米,千克,N7.3,
a25015,"1,2,4-三氯苯",,毫克/立方米,千克,N7.3,
a25019,"1,2,4-三甲基苯",,毫克/立方米,千克,N7.3,
a25020,"1,2,3-三甲基苯",,毫克/立方米,千克,N7.3,
a25021,"1,3,5-三甲基苯",,毫克/立方米,千克,N7.3,
a25023,硝基苯,22,毫克/立方米,千克,N3.4,
a25038,乙烯基苯,,毫克/立方米,千克,N7.3,
a25044,苯并[a]芘,20,毫克/立方米,千克,N4.3,
a25072,四氢呋喃,,毫克/立方米,千克,N7.3,
a26001,苯胺类,21,毫克/立方米,千克,N4.3,
a29017,乙酸乙酯,,毫克/立方米,千克,N7.3,
a29026,乙酸乙烯酯,,毫克/立方米,千克,N7.3,
a30001,甲醇,28,毫克/立方米,千克,N4.3,
a30008,异丙醇,,毫克/立方米,千克,N7.3,
a30022,硫醇,13,毫克/立方米,千克,N4.3,
a31001,甲醛,19,毫克/立方米,千克,N3.3,
a31002,乙醛,26,毫克/立方米,千克,N3.4,
a31024,丙酮,,毫克/立方米,千克,N7.3,
a31025,2-丁酮,,毫克/立方米,千克,N7.3,
a31030,甲基异丁基甲酮,,毫克/立方米,千克,N7.3,
a34001,总悬浮颗粒物TSP,,纳克/立方米,克,N4.3,
a34002,可吸入颗粒物PM10,,纳克/立方米,克,N3.3,
a34004,细微颗粒物PM2.5,,纳克/立方米,克,N3.3,
a34005,亚微米颗粒物PM1.0,,纳克/立方米,克,N3.3,
a34011,降尘,,吨/平方千米x月,,,
a34013,烟尘,01,毫克/立方米,千克,N4,
a34017,炭黑尘,,毫克/立方米,千克,N4,
a34038,沥青烟,09,毫克/立方米,千克,N4.3,
a34039,硫酸雾,14,毫克/立方米,千克,N4.3,
a34040,铬酸雾,15,毫克/立方米,千克,N2.3,
a99010,丙烯腈,,毫克/立方米,千克,N7.3,
a99049,光气,24,毫克/立方米,千克,N3.3,
a99051,二硫化碳,12,毫克/立方米,千克,N4.3,
LA,A权声级,,分贝,,N3.1,
L5,累计百分声级L5,,分贝,,N3.1,
L10,累计百分声级L10,,分贝,,N3.1,
L50,累计百分声级L50,,分贝,,N3.1,
L90,累计百分声级L90,,分贝,,N3.1,
L95,累计百分声级L95,,分贝,,N3.1,
Leq,等效声级,,分贝,,N3.1,
Ldn,昼夜等效声级,,分贝,,N3.1,
Ld,昼间等效声级,,分贝,,N3.1,
Ln,夜间等效声级,,分贝,,N3.1,
LMx,最大的瞬时声级,,分贝,,N3.1,
LMn,最小的瞬时声级,,分贝,,N3.1,
e101xx,进水口流量,,升/秒,,N6.2,
e102xx,进水口COD,,毫克/升,,N5.1,
e103xx,进水口氨氮,,毫克/升,,N3.2,
e104xx,进水口总磷,,毫克/升,,N3.2,
e105xx,进水口总氮,,毫克/升,,N5.1,
e106xx,进水口pH,,无量纲,,N2.2,
e201xx,出水口流量,,升/秒,,N6.2,
e202xx,出水口COD,,毫克/升,,N5.1,
e203xx,出水口氨氮,,毫克/升,,N3.2,
e204xx,出水口总磷,,毫克/升,,N3.2,
e205xx,出水口PH,,无量纲,,N2.2,
e301xx,污水提升泵,,安[培],,N4.2,
e302xx,鼓风机,,安[培],,N4.2,
e303xx,鼓风量,,毫克/升,,N7,
e304xx,生化池污泥浓度,,毫克/升,,N5.1,
e305xx,生化池溶解氧浓度,,毫克/升,,N5.1,
e306xx,污泥剩余泵,,安[培],,N4.2,
e307xx,污泥回流泵,,安[培],,N4.2,
e308xx,污泥回流量,,千克,,N7,
e309xx,污泥剩余量,,千克,,N7,
e310xx,污泥压滤机,,安[培],,N4.2,
e311xx,阀门状态,,无量纲,,N1,
e312xx,储泥池液位,,米,,N2.3,
e313xx,加药量,,毫克/升,,N5.1,
e314xx,生化池氧化还原电位,,毫伏[特],,N7,
e401xx,污水提升泵,,安[培],,N4.2,
e402xx,曝气设备,,安[培],,N4.2,
e403xx,生化池污泥浓度,,毫克/升,,N5.1,
e404xx,厌氧池溶解氧浓度,,毫克/升,,N5.1,
e405xx,缺氧池溶解氧浓度,,毫克/升,,N5.1,
e406xx,好氧池溶解氧浓度,,毫克/升,,N5.1,
e407xx,污泥剩余泵,,安[培],,N4.2,
e408xx,污泥回流泵,,安[培],,N4.2,
e409xx,污泥回流量,,千克,,N4.2,
e410xx,污泥剩余量,,千克,,N4.2,
e411xx,污泥压滤机,,安[培],,N4.2,
e412xx,搅拌器转态,,无量纲,,N1,
e413xx,阀门状态,,无量纲,,N1,
e414xx,缺氧池氧化还原电位,,毫伏[特],,N7,
e415xx,好氧池氧化还原电位,,毫伏[特],,N7,
e416xx,提升泵池液位,,米,,N2.3,
e417xx,储泥池液位,,米,,N2.3,
e418xx,加药量,,毫克/升,,N5.1,
e501xx,污水提升泵,,安[培],,N4.2,
e502xx,曝气设备,,安[培],,N4.2,
e503xx,供气量状态,,无量纲,,N1,
e504xx,生化池污泥浓度,,毫克/升,,N5.1,
e505xx,厌氧池溶解氧浓度,,毫克/升,,N5.1,
e506xx,缺氧池溶解氧浓度,,毫克/升,,N5.1,
e507xx,好氧池溶解氧浓度,,毫克/升,,N5.1,
e508xx,混合液回流泵,,安[培],,N4.2,
e509xx,剩余污泥泵,,安[培],,N4.2,
e510xx,剩余污泥量,,千克,,N7,
e511xx,搅拌器状态,,无量纲,,N1,
e512xx,阀门状态,,无量纲,,N1,
e513xx,缺氧池氧化还原电位,,毫伏[特],,N7,
e514xx,好氧池氧化还原电位,,毫伏[特],,N7,
e515xx,提升泵池液位,,米,,N2.3,
e516xx,储泥池液位,,米,,N2.3,
e517xx,加药量,,毫克/升,,N5.1,
e601xx,污水提升泵,,安[培],,N4.2,
e602xx,曝气设备,,安[培],,N4.2,
e603xx,SBR池污泥浓度,,毫克/升,,N5.1,
e604xx,SBR池溶解氧浓度,,毫克/升,,N5.1,
e605xx,污泥剩余泵,,安[培],,N4.2,
e606xx,污泥回流泵,,安[培],,N4.2,
e607xx,污泥回流量,,千克,,N7,
e608xx,污泥剩余量,,千克,,N7,
e609xx,污泥压滤机,,安[培],,N4.2,
e610xx,搅拌器,,安[培],,N4.2,
e614xx,SBR池曝气搅拌时氧化还原电位,,毫伏[特],,N7,
e615xx,阀门状态,,无量纲,,N1,
e616xx,提升泵池液位,,米,,N2.3,
e617xx,储泥池液位,,米,,N2.3,
e701xx,污水提升泵,,安[培],,N4.2,
e702xx,曝气设备,,安[培],,N4.2,
e703xx,接触氧化池污泥浓度,,毫克/升,,N5.1,
e704xx,接触氧化池溶解氧浓度,,毫克/升,,N5.1,
e705xx,剩余污泥泵,,安[培],,N4.2,
e706xx,剩余污泥量,,千克,,N7,
e707xx,污泥压滤机,,安[培],,N4.2,
e708xx,阀门状态,,无量纲,,N1,
e709xx,提升泵池液位,,米,,N2.3,
e710xx,储泥池液位,,米,,N2.3,
e701xx,加药量,,毫克/升,,N5.1,
e801xx,污水提升泵,,安[培],,N4.2,
e802xx,曝气设备,,安[培],,N4.2,
e803xx,污泥浓度,,毫克/升,,N5.1,
e804xx,溶解氧浓度,,毫克/升,,N5.1,
e805xx,剩余污泥泵,,安[培],,N4.2,
g101xx,增压风机状态,,无量纲,,N1,
g102xx,增压风机电流,,安[培],,N4.2,
g103xx,浆液循环泵状态,,无量纲,,N1,
g104xx,浆液循环泵电流,,安[培],,N4.2,
g105xx,密封剂状态,,无量纲,,N1,
g106xx,密封剂电流,,安[培],,N4.2,
g107xx,GGH运行状态,,无量纲,,N1,
g108xx,GGH电机电流,,安[培],,N4.2,
g109xx,浆液泵状态,,无量纲,,N1,
g110xx,浆液泵流量,,立方米/小时,,N4.3,
g111xx,脱硫塔内浆液pH,,无量纲,,N2.2,
g112xx,吸收塔除雾器状态,,无量纲,,N1,
g113xx,吸收塔除物器电流,,安[培],,N4.2,
g114xx,吸收塔搅拌器状态,,无量纲,,N1,
g115xx,吸收塔浆液密度,,千克/立方米,,N3.3,
g116xx,旁路挡板门开度,,[角]度,,N4,
g117xx,石膏排除泵状态,,无量纲,,N1,
g118xx,石膏排除泵电流,,安[培],,N4.2,
g119xx,脱硫率,,%,,N3.2,
g201xx,脱硫塔内喷水泵电流,,安[培],,N4.2,
g202xx,脱硫剂输送装置,,安[培],,N4.2,
g203xx,称重给煤机计量信号,,无量纲,,N1,
g204xx,炉膛床压,,帕,,N7,
g205xx,炉膛床温,,摄氏度,,N5.1,
g206xx,冷渣器转速,,转/分钟,,N6,
g207xx,返料风机电流,,安[培],,N4.2,
g208xx,引风机电流,,安[培],,N4.2,
g209xx,一次风机电流,,安[培],,N4.2,
g210xx,二次风机电流,,安[培],,N4.2,
g211xx,石灰石给料机电流,,安[培],,N4.2,
g212xx,脱硫率,,%,,N3.1,
g301xx,氨喷射系统电流,,安[培],,N4.2,
g302xx,稀释风机状态,,无量纲,,N1,
g303xx,稀释风机电流,,安[培],,N4.2,
g304xx,氨泵风机状态,,无量纲,,N1,
g305xx,氨泵风机电流,,安[培],,N4.2,
g306xx,旁路挡板状态,,无量纲,,N1,
g307xx,旁路挡板开度,,[角]度,,N4,
g308xx,旁路挡板左右压差,,千帕,,N5.3,
g119xx,入口二氧化硫SO2,,毫克/立方米,,N3.3,
g120xx,入口氮氧化物NOx,,毫克/立方米,,N3.3,
g121xx,入口含氧量O2,,%,,N3.1,
g122xx,入口流量,,立方米/小时,,N4.3,
g123xx,入口温度,,摄氏度,,N3.1,
g124xx,入口烟尘,,毫克/立方米,,N3.3,
g125xx,入口压力,,千帕,,N5.3,
g126xx,入口湿度,,%,,N3.1,
g127xx,出口二氧化硫SO2,,毫克/立方米,,N3.3,
g128xx,出口氮氧化物NOx,,毫克/立方米,,N3.3,
g129xx,出口含氧量O2,,%,,N3.1,
g130xx,出口流量,,立方米/小时,,N4.3,
g131xx,出口温度,,摄氏度,,N3.1,
g132xx,出口烟尘,,毫克/立方米,,N3.3,
g133xx,出口压力,,千帕,,N5.3,
g134xx,出口湿度,,%,,N3.1,
i11001,运行日志,,,,C890,日志信息在“//”之间使用UTF-8编码
i12001,工作状态,,无量纲,,N2,运行（0）、维护（1）、故障（2）、校准（3）、反吹（5）、电源故障（6）、测量（7）、标定（8）、待机（9）、运维（10）
i12002,分析仪与数采仪通讯状态,,无量纲,,N1,正常（0）、异常（1）
i12003,COD分析仪报警状态,,无量纲,,N1,正常（0）、报警（1）
i13001,测量量程,,,,,单位、数据类型根据实际自定义
i13002,测量精度,,,,,单位、数据类型根据实际自定义
i13003,测量间隔,,分钟,,N4,
i13004,消解温度,,摄氏度,,N3.1,
i13005,消解时长,,分钟,,N2,
i13006,校准时间,,年月日时分秒,,YYYYMMDDHHMMSS,
i13007,截距,,,,,单位、数据类型根据实际自定义
i13008,斜率,,,,,单位、数据类型根据实际自定义
i13009,测量检出限,,,,,单位、数据类型根据实际自定义
i21001,运行日志,,,,C890,日志信息在“//”之间使用UTF-8编码
i22001,工作状态,,无量纲,,N1,运行（0）、停机（1）、故障（2）、维护（3）
i22002,用户状态,,无量纲,,N1,普通用户（0）、管理员（1）、维护人员（2）
i22003,数采仪与上位机通讯状态,,无量纲,,N1,正常（0）、异常（1）
i22101,数采仪通道通讯状态,,无量纲,,N1,正常（0）、异常（1）、通道未接设备（2）
i23001,本地大气压力,,千帕,,N3.3,
i31001,门禁日志,,,,C890,日志信息在“//”之间使用UTF-8编码
i32001,门禁状态,,无量纲,,N1,运行（0）、停机（1）、故障（2）、维护（3）
i33001,CEMS伴热管温度,,摄氏度,,N4,
i33002,CEMS冷凝温度,,摄氏度,,N1.1,
i33101,监测站房温度,,摄氏度,,N4,
i33102,监测站房湿度,,摄氏度,,N4,
i33103,监测站房电压,,伏[特],,N4,
i33104,监测站房原水压力,,千帕,,N6,
i33105,监测站房进样压力1,,千帕,,N6,
i33106,监测站房进样压力2,,千帕,,N6,
i33107,沉砂池清洗时间,,秒,,N4,
i33200,污水处理站（厂）电流量,,安[培],,N4.2,
i33201,污水处理站（厂）累计耗电量,,千瓦[特][小]时,,N13,
i33202,污水处理站（厂）日耗电量,,千瓦[特][小]时,,N7,
i3331x,炉膛内上部焚烧温度,,摄氏度,,N4.1,x为设备编号（0-9）可以根据测点数量扩充;测量数值变化或者以固定时间间隔上传
i3332x,炉膛内中部焚烧温度,,摄氏度,,N4.1,x为设备编号（0-9）可以根据测点数量扩充;测量数值变化或者以固定时间间隔上传
i3333x,炉膛内下部焚烧温度,,摄氏度,,N4.1,x为设备编号（0-9）可以根据测点数量扩充;测量数值变化或者以固定时间间隔上传
i3334x,炉膛内二次空气喷入点温度,,摄氏度,,N4.1,x为设备编号（0-9）可以根据测点数量扩充;测量数值变化或者以固定时间间隔上传
i33400,生产负荷,,%,,N3.1,优先由企业DCS中接入，如果DCS没有，从传感器接入
